product_id,product_name,product_slug,collection_name,collection_slug,product_status,reference_number,sku
bf7a0fe1-fbdb-4d24-b1b7-2a1aabedd5d0,IWC Replica Anniversary Series IW505003 Manual-Wind Watch,iwc-replica-anniversary-series-iw505003,Anniversary Series,anniversary-series,published,IW505003,
28425f29-374a-4fbe-ab1f-d30e943ef1b8,IWC Replica IW371601 Anniversary Series Automatic Watch,iwc-replica-iw371601-anniversary-series-automatic-watch,Anniversary Series,anniversary-series,published,IW371601,
38f6b3b6-5932-487a-9934-09be8bb86798,Patek Philippe 4675G-001 Anniversary Series 1:1 Watch,patek-philippe-4675g-001-anniversary-watch,Anniversary Series,anniversary-series,draft,4675G-001,
469d89de-4ee9-4aa5-8db7-add834666389,Patek Philippe Anniversary Series 4675R-001 Replica Watch,patek-philippe-anniversary-series-4675r-001-replica-watch,Anniversary Series,anniversary-series,draft,4675R-001,
a2464c09-f7d9-4e45-906e-ba2bcc8f72a6,Patek Philippe Anniversary Series 5275P-001 Top 1:1 Clone Watch,patek-philippe-anniversary-series-5275p-001-clone-watch,Anniversary Series,anniversary-series,draft,5275P-001,
9dfbb9d6-760b-4fe8-8b03-27d8babe2e13,Patek Philippe Anniversary Series 5575G-001 Replica Watch,patek-philippe-anniversary-series-5575g-001-replica-watch,Anniversary Series,anniversary-series,draft,5575G-001,
72ac7e56-792a-4644-9dac-1a53d3dccd39,Patek Philippe Anniversary Series 5975J-001 Top 1:1 Clone Watch,patek-philippe-anniversary-series-5975j-001-clone-watch,Anniversary Series,anniversary-series,draft,5975J-001,
1dd8d45e-c0e0-406d-a8cf-693e8d510629,Patek Philippe Anniversary Series 5975R-001 Top 1:1 Clone,patek-philippe-anniversary-series-5975r-001-clone,Anniversary Series,anniversary-series,draft,5975R-001,
987f5203-ed3f-47e1-9e01-14544e7e0968,Replica Patek Philippe Anniversary Series 5975G-001,replica-patek-philippe-5975g-001,Anniversary Series,anniversary-series,draft,5975G-001,
62be58bf-413b-4cdd-93f4-d25e2a190f4c,Replica Patek Philippe Anniversary Series 7175R-001,replica-patek-philippe-7175r-001-anniversary-series,Anniversary Series,anniversary-series,draft,7175R-001,
4b1fa403-86eb-4e19-ab32-fe35e510c4aa,IWC Da Vinci Replica IW356601 Automatic Watch,iwc-da-vinci-replica-iw356601,Da Vinci,da-vinci,draft,IW356601,
8277baa2-29d6-41a4-9e31-d08f83adef72,IWC Da Vinci Replica IW356602 Automatic Watch,iwc-da-vinci-replica-iw356602,Da Vinci,da-vinci,draft,IW356602,
b8429aab-dc34-472b-a781-5eaef1fe510c,IWC Da Vinci Replica IW358101 Automatic Watch,iwc-da-vinci-replica-iw358101,Da Vinci,da-vinci,draft,IW358101,
31882b83-addf-46dd-b7d0-284487a6ea76,IWC Da Vinci Replica IW376101 Automatic Watch,iwc-da-vinci-replica-iw376101,Da Vinci,da-vinci,draft,IW376101,
018f7e32-e8a4-422d-80c4-53f44320015c,IWC Da Vinci Replica IW376421 Automatic Watch,iwc-da-vinci-replica-iw376421,Da Vinci,da-vinci,draft,IW376421,
402877d2-9b4e-4480-b65d-c16792c38f02,IWC Da Vinci Replica IW392101 Rose Gold Watch,iwc-da-vinci-replica-iw392101-rose-gold,Da Vinci,da-vinci,draft,IW392101,
f80d4fec-a6a8-4e6b-8966-77a3ab7e6146,IWC Da Vinci Replica IW393402 Automatic Watch,iwc-da-vinci-replica-iw393402,Da Vinci,da-vinci,draft,IW393402,
27917b0f-c635-4dda-aa0d-d12ddf27cced,IWC Da Vinci Replica IW452311 Rose Gold Automatic Watch,iwc-da-vinci-replica-iw452311,Da Vinci,da-vinci,draft,IW452311,
695b000e-81e3-42d9-9460-0b261ddf9238,IWC Da Vinci Replica IW452314 Automatic Watch,iwc-da-vinci-replica-iw452314,Da Vinci,da-vinci,draft,IW452314,
bf599e5c-53f2-4170-9a63-ae483456b5d5,IWC Da Vinci Replica IW458307 Automatic Watch,iwc-da-vinci-replica-iw458307,Da Vinci,da-vinci,draft,IW458307,
1bdb5169-1fc8-4ff1-a041-7255747ad6c8,IWC Da Vinci Replica IW458308 Automatic Watch,iwc-da-vinci-replica-iw458308,Da Vinci,da-vinci,draft,IW458308,
d426eb36-7e72-4590-b405-1c9ba80de3e8,IWC Da Vinci Replica IW458312 Automatic Watch,iwc-da-vinci-replica-iw458312,Da Vinci,da-vinci,draft,IW458312,
45673abf-3e9d-4b86-a8f4-20337874312c,IWC Da Vinci Replica IW459306 Automatic Watch,iwc-da-vinci-replica-iw459306,Da Vinci,da-vinci,draft,IW459306,
d0d6a161-7649-4dd6-ad43-ae1cddc9636f,IWC Da Vinci Replica IW546101 Automatic Watch,iwc-da-vinci-replica-iw546101,Da Vinci,da-vinci,draft,IW546101,
a32bda34-144a-4540-a9fb-217b6a75c89b,IWC Da Vinci Replica W459307 Automatic Watch,iwc-da-vinci-replica-w459307,Da Vinci,da-vinci,draft,W459307,
82ec5303-4b6f-49f2-a301-51fabc055966,Ingenieur Automatic Black Dial Watch,ingenieur-automatic-black-dial-watch,Ingenieur,ingenieur,published,Automatic,TEST-ING-001
1089f16e-f909-45d8-a026-d77dcf657f54,IWC Ingenieur Replica IW322402 Automatic Watch,iwc-ingenieur-replica-iw322402,Ingenieur,ingenieur,draft,IW322402,
47eace35-a6a1-4888-acfb-67367333978d,IWC Ingenieur Replica IW322404 Automatic Watch,iwc-ingenieur-replica-iw322404,Ingenieur,ingenieur,draft,IW322404,
437c9e35-c3a9-4016-a212-d0aa2e81411c,IWC Ingenieur Replica IW322503 Black Ceramic Watch,iwc-ingenieur-replica-iw322503-black-ceramic,Ingenieur,ingenieur,draft,IW322503,
522fdad0-e9c0-4c83-94d7-f7b8dc63d9e7,IWC Ingenieur Replica IW322504 Automatic Brown Watch,iwc-ingenieur-replica-iw322504-automatic-brown-watch,Ingenieur,ingenieur,draft,IW322504,
f384543a-953b-47f9-bda4-c63ffb2bbb14,IWC Ingenieur Replica IW323312 Rose Gold Watch,iwc-ingenieur-replica-iw323312-rose-gold,Ingenieur,ingenieur,draft,IW323312,
bf2019e7-2206-4113-adcb-c578bf3423ba,IWC Ingenieur Replica IW323402 Automatic Watch,iwc-ingenieur-replica-iw323402-automatic-watch,Ingenieur,ingenieur,draft,IW323402,
f4123cbf-346b-4884-ad9e-4bf7557dedb0,IWC Ingenieur Replica IW323601 Automatic Watch,iwc-ingenieur-replica-iw323601,Ingenieur,ingenieur,draft,IW323601,
d4cae10c-6429-439b-9a30-3d84ff88ccbf,IWC Ingenieur Replica IW323902 Automatic Watch,iwc-ingenieur-replica-iw323902,Ingenieur,ingenieur,draft,IW323902,
0033cff5-da54-4a54-a16f-64c08874491e,IWC Ingenieur Replica IW323904 Automatic Watch,iwc-ingenieur-replica-iw323904,Ingenieur,ingenieur,draft,IW323904,
a2b1de20-0004-4488-826c-62ae14911563,IWC Ingenieur Replica IW323909 Automatic Blue Dial Watch,iwc-ingenieur-replica-iw323909-blue-dial-watch,Ingenieur,ingenieur,draft,IW323909,
58d6b78d-fddf-418a-b099-4d03a50532fc,IWC Ingenieur Replica IW328702 Rose Gold Automatic Watch,iwc-ingenieur-replica-iw328702-rose-gold,Ingenieur,ingenieur,draft,IW328702,
f76844aa-d6a2-4f23-b7b1-c7ffb9c286e7,IWC Ingenieur Replica IW328901 Black Dial Watch,iwc-ingenieur-replica-iw328901-black-dial,Ingenieur,ingenieur,draft,IW328901,
796a0023-ba8f-4b5a-ad55-ff0e9d8bf4e5,IWC Ingenieur Replica IW328902 Automatic Watch,iwc-ingenieur-replica-iw328902,Ingenieur,ingenieur,draft,IW328902,
46163a64-00dd-481c-826c-803b95d8f670,IWC Ingenieur Replica IW328903 Green Dial Watch,iwc-ingenieur-replica-iw328903-green-dial,Ingenieur,ingenieur,draft,IW328903,
3d350af7-5e8c-4976-be06-67552de0fdbd,IWC Ingenieur Replica IW328904 Titanium Automatic Watch,iwc-ingenieur-replica-iw328904-titanium,Ingenieur,ingenieur,draft,IW328904,
163d9537-a07b-4721-a2cc-e1e3cfa9595d,IWC Ingenieur Replica IW328907 Blue Dial Watch,iwc-ingenieur-replica-iw328907-blue-dial,Ingenieur,ingenieur,draft,IW328907,
2363324f-ceda-4a88-8f4e-14ca20599d38,IWC Ingenieur Replica IW357001 Automatic Watch,iwc-ingenieur-replica-iw357001,Ingenieur,ingenieur,draft,IW357001,
af9b026a-654a-40cb-be13-c74ee6365622,IWC Ingenieur Replica IW357002 Automatic Watch,iwc-ingenieur-replica-iw357002,Ingenieur,ingenieur,draft,IW357002,
5f44880f-4e56-410e-b13c-a43f597f9a95,IWC Ingenieur Replica IW357003 Rose Gold Automatic Watch,iwc-ingenieur-replica-iw357003,Ingenieur,ingenieur,draft,IW357003,
f9085953-f110-4fc1-a421-0b89a2513784,IWC Ingenieur Replica IW376501 Automatic Watch,iwc-ingenieur-replica-iw376501,Ingenieur,ingenieur,draft,IW376501,
